GENE	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
gb|GQ149347.1|+|5269-6130|ARO:3001037|TEM-171	3	4	1	2	3	1	1	5	0	1	3	4	4	2	1	4	1	2
gb|M36726.1|+|295-1150|ARO:3000596|ErmX	4	166	133	2	5	29	16	25	117	0	6	20	2	13	49	4	19	43
gb|AF190692.1|+|208-1069|ARO:3000946|TEM-79	1	1	0	3	7	1	1	1	1	1	3	2	2	2	5	4	1	0
gb|KM087865.1|+|0-843|ARO:3001583|OXA-397	0	28	14	11	9	1	2	5	2	2	15	3	10	3	5	4	48	50
gb|FN594949.1|+|25244-27167|ARO:3000556|tet(44)	1	2	7	0	0	3	1	6	2	0	0	15	3	2	14	4	29	9
gb|Z21523.1|+|0-1974|ARO:3000191|tet(Q)	61	27	21	134	2	115	7	58	164	33	12	258	94	46	19	4	227	332
gb|AF078527.1|+|3769-4303|ARO:3000230|ANT(2'')-Ia	4	87	84	5	5	44	10	36	79	3	2	23	23	10	42	4	16	54
gb|AM261837.1|+|73-865|ARO:3002619|aadA22	4	17	17	7	1	18	1	6	50	1	2	4	3	26	11	4	10	19
gb|EF102240.1|-|11722-12565|ARO:3001647|OXA-97	0	26	18	11	9	1	1	3	3	0	24	3	7	1	4	4	33	45
gb|KP096411.1|+|0-864|ARO:3003181|GES-26	3	28	42	4	0	6	3	10	59	2	4	4	2	30	69	4	8	28
gb|AF371964.1|+|118-919|ARO:3001768|OXA-118	0	1	0	1	1	3	0	0	5	0	0	1	0	1	0	4	3	0
gb|AF534183.1|+|2970-4245|ARO:3000165|tet(A)	2	20	62	4	9	10	4	8	19	10	5	7	9	17	9	4	16	35
gb|AJ420072.1|+|22939-24163|ARO:3000478|tet(33)	6	40	68	3	64	9	2	23	64	0	20	9	3	8	22	4	25	35
gb|U00096.1|+|2367070-2368039|ARO:3003578|PmrF	3	2	3	9	12	2	8	7	6	5	5	2	9	5	6	4	3	4
gb|L06249.1|+|1527-2505|ARO:3003748|oleC	1	3	1	0	2	7	2	0	10	3	0	13	0	1	0	4	0	15
gb|NZ_CP040912.1|+|84797-85964|ARO:3005057|tet(X5)	1	45	60	3	1	35	1	17	30	4	3	41	1	29	3	4	74	36
gb|NG_071226.1|+|0-861|ARO:3005273|TEM-243	1	1	1	2	1	0	1	1	0	0	0	0	1	1	0	4	0	0
gb|NG_049128.1|+|1-864|ARO:3003185|GES-25	0	16	28	9	1	4	0	13	33	4	0	0	4	22	47	4	5	17
gb|NG_049132.1|+|1-864|ARO:3006158|GES-29	4	25	28	2	0	2	2	19	51	0	3	2	1	22	57	4	5	15
gb|FJ381668.1|+|56-848|ARO:3002612|aadA12	6	34	43	2	2	6	2	13	33	1	3	7	4	17	7	3	11	17
gb|AJ222769.3|+|3686-5606|ARO:3000194|tet(W)	4	11	5	18	10	31	0	8	16	0	3	14	7	12	15	3	9	94
gb|Y13612.1|+|0-861|ARO:3000921|TEM-52	2	2	0	2	1	1	0	2	0	2	2	3	0	2	0	3	1	0
gb|D78168.1|+|536-1592|ARO:3000206|emrK	6	5	7	11	9	2	10	6	5	7	6	7	7	3	11	3	5	12
gb|U63835.1|+|127-955|ARO:3001410|OXA-15	2	2	3	0	0	5	0	1	1	0	0	3	0	0	1	3	2	2
gb|AY232670.1|-|3524-4157|ARO:3002675|catB2	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	3	0	0
gb|X01702.1|+|484-1285|ARO:3002659|APH(6)-Ic	0	16	0	1	0	0	0	8	0	0	0	1	0	8	0	3	0	8
gb|AF156486.1|+|1331-2195|ARO:3002330|GES-1	2	30	37	13	1	3	6	17	41	2	2	1	6	32	43	3	5	25
gb|KC149518.1|+|0-861|ARO:3001369|TEM-153	2	0	5	2	3	1	0	1	1	3	1	1	0	1	1	3	1	1
gb|JN596280.1|+|2847-3711|ARO:3002349|GES-20	6	33	55	5	5	4	7	21	45	1	4	5	1	30	60	3	2	19
gb|AF043381.1|+|251-863|ARO:3002580|AAC(6')-Ib9	3	108	136	4	2	20	2	64	106	3	3	8	0	72	9	3	17	90
gb|FJ503047.1|+|0-519|ARO:3002592|AAC6_IB_HZ	1	66	77	1	2	18	2	29	66	6	2	4	0	57	2	3	11	61
gb|AF445082.1|+|2788-3343|ARO:3002577|AAC(6')-Ib4	7	90	97	6	2	22	1	35	70	0	5	8	6	45	8	3	15	80
gb|BA000007.3|+|3212025-3212640|ARO:3000832|evgA	2	8	2	9	4	1	2	3	0	2	5	4	4	2	3	3	7	1
gb|AF351241.1|+|89-950|ARO:3000957|TEM-90	3	3	4	7	0	1	7	9	3	1	3	0	3	4	4	3	4	3
gb|AM941159.1|+|208-1069|ARO:3001022|TEM-156	3	3	2	7	6	0	2	3	3	2	3	2	6	1	3	3	1	2
gb|AP009048.1|+|2166412-2167135|ARO:3000828|baeR	3	2	2	2	8	5	1	11	2	2	1	11	1	5	3	3	3	7
gb|KF525301.1|+|105-603|ARO:3003018|dfrA22	2	81	358	3	1	11	0	41	140	0	4	2	9	67	2	3	2	78
gb|AY289608.1|+|1523-2078|ARO:3002588|AAC(6')-I30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
gb|U59183.1|+|247-859|ARO:3002581|AAC(6')-Ib10	1	55	120	7	2	16	2	36	63	4	3	7	4	51	7	3	5	63
gb|LC037981.1|+|0-801|ARO:3003610|OXA-454	0	9	31	1	0	4	1	4	19	0	1	5	1	5	4	3	4	14
gb|AF326355.1|+|0-864|ARO:3002331|GES-2	1	28	38	10	1	5	1	15	36	2	5	7	1	23	65	3	9	20
gb|AB039845.1|+|25-1945|ARO:3000186|tet(M)	33	14	13	88	19	68	14	6	31	5	25	27	3	10	73	3	17	116
gb|AY494718.1|+|0-864|ARO:3002335|GES-6	3	25	35	3	1	1	1	10	38	1	2	5	6	12	53	3	5	19
gb|L11616.1|+|1569-4710|ARO:3000378|MexB	176	4	14	39	13	6	1	8	48	231	54	4	36	18	70	3	4	6
gb|JQ034306.1|+|0-861|ARO:3001376|TEM-196	2	0	0	0	2	1	1	2	1	1	2	1	1	0	4	3	0	2
