Taxa	CGH1	CGH2	CGH3	CGH4	CGH5	CGH6	SLMC1	SLMC2	SLMC3	SLMC4	SLMC5	SLMC6	UST1	UST2	UST3	UST4	UST5	UST6
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Beutenbergiaceae;Unclassified Beutenbergiaceae	2	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia	2	0	0	0	3	0	0	0	0	7	5	1	9	6	22	10	3	7
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium	9	4	0	4	6	10	4	4	0	10	2	19	0	0	2	2	6	33
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea	3	5	1	6	2	0	12	0	1	1	1	3	14	22	10	11	1	8
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas	5	6	2	3	4	2	0	104	5	0	4	5	6	9	8	4	7	13
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Demequina	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Oerskovia	0	0	3	238	4	0	2	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Unclassified Cellulomonadaceae	4	6	1	137	6	0	8	0	3	3	4	2	30	21	9	4	6	4
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium	3	0	1	1	1	0	1	17	0	0	1	0	0	2	1	0	0	14
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Devriesea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Unclassified Dermabacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Branchiibius	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Demetria	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Dermacoccus	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Kytococcus	1	0	0	1	2	0	0	0	0	0	2	0	0	0	7	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Luteipulveratus	0	0	0	0	2	18	25	0	9	0	0	4	3	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Unclassified Dermacoccaceae	2	1	5	0	17	123	235	4	31	22	1	15	10	0	0	0	0	14
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Yimella	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	17
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermatophilaceae;Dermatophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermatophilaceae;Kineosphaera	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermatophilaceae;Piscicoccus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermatophilaceae;Unclassified Dermatophilaceae	1	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	3
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Fodinibacter	2	2	3	5	4	0	0	0	0	1	0	0	0	0	0	0	1	4
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Humibacillus	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Intrasporangium	0	0	0	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter	28	20	8	44	21	47	79	31	18	4	11	5	1	0	2	8	4	25
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Knoellia	1	0	0	0	0	0	6	0	1	4	0	0	2	0	0	0	0	6
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Lapillicoccus	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinicoccus	0	0	0	0	0	0	0	0	4	1	5	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus	0	0	0	0	0	0	11	0	0	8	3	0	0	4	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Phycicoccus	0	0	0	0	2	0	0	0	0	0	0	0	6	2	9	3	4	6
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Serinicoccus	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Terrabacter	0	0	0	0	0	0	0	2	0	0	0	0	10	8	0	14	7	5
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera	3	0	0	2	0	1	2	0	2	0	0	2	8	1	6	10	2	12
