GENE	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
aph(2'')-Ib_3_KF652098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ant(6)-Ia_3_KF864551	4	1	3	9	7	9	0	1	9	0	2	12	4	2	1	0	8	21
aac(2')-Ia_1_L06156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(2')-Ib_1_U41471	0	2	4	4	20	0	4	27	17	7	3	3	18	1	13	0	3	6
aac(2')-Ic_1_U72714	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(2')-Id_1_U72743	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
aac(2')-Ie_1_NC011896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-I_1_AJ877225	0	2	1	0	0	0	1	25	4	0	0	0	0	0	3	0	1	3
aac(3)-Ia_1_X15852	0	12	2	0	0	0	0	1	33	0	0	0	0	8	0	0	0	24
aac(3)-Ib_1_L06157	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
aac(3)-Ib-aac(6')-Ib_1_AF355189	3	68	77	5	0	11	0	27	71	0	3	7	2	62	5	4	14	60
aac(3)-Ic_1_AJ511268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-Id_1_AB114632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-If_1_AY884051	0	13	3	0	0	0	0	4	4	0	0	0	0	4	0	3	0	0
aac(3)-Ig_1_CP000282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-Ih_1_CP000490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
aac(3)-Ii_1_CP000356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-IIa_1_X51534	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
aac(3)-IIb_1_M97172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-IIc_1_X54723	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0
aac(3)-IId_1_EU022314	0	13	5	0	0	0	1	4	3	0	3	19	1	2	1	1	3	19
aac(3)-IIe_1_EU022315	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
