clade_name	CGH1	CGH2	CGH3	CGH4	CGH5	CGH6	SLMC1	SLMC2	SLMC3	SLMC4	SLMC5	SLMC6	UST1	UST2	UST3	UST4	UST5	UST6
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	39622.0	7433.0	0.0	289016.0	59478.0	36852.0	0.0	37168.0	25266.0	6905.0	152039.0	1407.0	59213.0	33609.0	21758.0	332728.0	6514.0	201659.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	49706.0	9213.0	2736.0	566412.0	61170.0	24860.0	0.0	47360.0	56743.0	102690.0	60510.0	0.0	89554.0	60259.0	136429.0	355040.0	2292.0	745015.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Micropepsales	43951.0	6278.0	0.0	276.0	10547.0	5950.0	14997.0	0.0	31467.0	30395.0	5103.0	12900.0	12022.0	41517.0	44613.0	32638.0	37892.0	28473.0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	60340.0	82067.0	0.0	0.0	0.0	71653.0	14533.0	0.0	1932.0	362.0	75018.0	110774.0	175276.0	27111.0	470.0	0.0	0.0	69507.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	57606.0	42276.0	38953.0	75480.0	27749.0	58482.0	46329.0	46092.0	40661.0	31682.0	35509.0	54770.0	102809.0	57782.0	66516.0	59398.0	35507.0	114875.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales	26859.0	61280.0	35734.0	271261.0	38968.0	7193.0	229.0	0.0	2173.0	63946.0	17693.0	97.0	0.0	0.0	0.0	0.0	163.0	1475.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	30945.0	36985.0	31619.0	151583.0	33074.0	25556.0	5113.0	0.0	274300.0	78186.0	98723.0	31992.0	1302.0	108325.0	8520.0	9452.0	5911.0	27222.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_unclassified	21868.0	76802.0	0.0	278.0	24139.0	3242.0	0.0	0.0	28258.0	0.0	0.0	513.0	0.0	0.0	0.0	0.0	1523.0	196.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	18879.0	1814.0	13196.0	77025.0	2542.0	7573.0	0.0	0.0	3839.0	2563.0	7098.0	0.0	132.0	670.0	32.0	7035.0	405.0	1908.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	9713.0	470.0	489.0	92031.0	11390.0	3009.0	0.0	5351.0	25352.0	15659.0	30656.0	0.0	1372.0	5741.0	11581.0	47540.0	589.0	33919.0
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales	21536.0	0.0	549.0	0.0	289.0	11112.0	126564.0	0.0	203965.0	44283.0	3690.0	41963.0	81328.0	506719.0	622124.0	274521.0	457499.0	717180.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	11055.0	3688.0	0.0	39883.0	1926.0	1430.0	0.0	18122.0	9136.0	14538.0	17278.0	0.0	806.0	2505.0	686.0	3991.0	0.0	10017.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	9414.0	3307.0	3173.0	9753.0	3337.0	6121.0	0.0	3829.0	25165.0	8528.0	24021.0	0.0	0.0	2241.0	0.0	81534.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	5747.0	3109.0	134114.0	32973.0	24362.0	30733.0	4407.0	1099.0	583868.0	21123.0	35271.0	9621.0	9682.0	6219.0	20145.0	378242.0	47086.0	0.0
k__Bacteria|p__Chloroflexi|c__CFGB10797|o__OFGB10797	10547.0	16671.0	12051.0	13399.0	7344.0	2818.0	85.0	0.0	0.0	2926.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
